,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
2479,1.0,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135
2499,1.0,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255
2500,1.0,0.685,0.52,0.15,1.3430000000000002,0.4635,0.292,0.4
2524,1.0,0.32,0.235,0.08,0.1485,0.064,0.031,0.045
2530,1.0,0.675,0.53,0.175,1.4465,0.6775,0.33,0.389
2542,1.0,0.545,0.405,0.13,0.6579999999999999,0.327,0.1445,0.174
2547,1.0,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15
2554,1.0,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274
2555,1.0,0.69,0.535,0.185,1.826,0.797,0.409,0.499
2558,1.0,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475
2561,1.0,0.62,0.48,0.165,1.043,0.4835,0.221,0.31
2566,1.0,0.695,0.53,0.2,2.0475,0.75,0.4195,0.6095
2569,1.0,0.485,0.4,0.155,0.731,0.236,0.183,0.255
2571,1.0,0.315,0.235,0.055,0.151,0.065,0.027000000000000003,0.039
2575,1.0,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33
2579,1.0,0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344
2584,1.0,0.695,0.54,0.195,1.6909999999999998,0.768,0.363,0.4755
2589,1.0,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985
2590,1.0,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525
2611,1.0,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348
2617,1.0,0.54,0.425,0.12,0.8170000000000001,0.2945,0.153,0.195
2620,1.0,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182
2625,1.0,0.325,0.24,0.075,0.152,0.065,0.0305,0.045
2646,1.0,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335
2651,1.0,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31
2652,1.0,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213
2655,1.0,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189
2657,1.0,0.64,0.48,0.145,1.1145,0.508,0.24,0.34
2658,1.0,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935
2671,1.0,0.335,0.22,0.07,0.17,0.076,0.0365,0.05
2687,1.0,0.68,0.52,0.185,1.494,0.615,0.3935,0.406
2700,1.0,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12
2703,1.0,0.51,0.385,0.15,0.625,0.3095,0.119,0.1725
2708,1.0,0.47,0.365,0.1,0.411,0.175,0.0855,0.135
2727,1.0,0.645,0.51,0.2,1.5675,0.621,0.3670000000000001,0.46
2729,1.0,0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135
2752,1.0,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045
2757,1.0,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308
2762,1.0,0.3,0.24,0.09,0.161,0.0725,0.039,0.05
2773,1.0,0.685,0.55,0.2,1.7725,0.813,0.387,0.49
2775,1.0,0.66,0.53,0.17,1.3259999999999998,0.519,0.2625,0.44
2776,1.0,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248
2777,1.0,0.425,0.35,0.105,0.393,0.13,0.063,0.165
2780,1.0,0.475,0.36,0.11,0.4920000000000001,0.211,0.11,0.15
2786,1.0,0.475,0.355,0.105,0.468,0.201,0.1115,0.12
2790,1.0,0.565,0.44,0.15,0.863,0.435,0.149,0.27
2802,1.0,0.515,0.395,0.125,0.6635,0.32,0.14,0.17
2805,1.0,0.34,0.245,0.085,0.2015,0.1005,0.038,0.053
2806,1.0,0.525,0.4,0.14,0.6055,0.2605,0.108,0.21
2807,1.0,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12
2814,1.0,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44
2820,1.0,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038
2823,1.0,0.475,0.36,0.11,0.452,0.191,0.099,0.13
2826,1.0,0.575,0.45,0.145,0.795,0.364,0.1505,0.26
2827,1.0,0.615,0.47,0.15,1.0875,0.4975,0.28300000000000003,0.2685
2832,1.0,0.365,0.27,0.085,0.205,0.078,0.0485,0.07
2839,1.0,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315
2844,1.0,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117
2857,1.0,0.435,0.395,0.105,0.3635,0.136,0.098,0.13
2864,1.0,0.435,0.355,0.125,0.4075,0.1535,0.07400000000000001,0.165
2865,1.0,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435
2867,1.0,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385
2870,1.0,0.59,0.49,0.165,1.207,0.5589999999999999,0.235,0.309
2882,1.0,0.56,0.46,0.18,0.97,0.342,0.196,0.355
2883,1.0,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005
2889,1.0,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415
2890,1.0,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1
2895,1.0,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565
2897,1.0,0.5,0.375,0.12,0.542,0.215,0.116,0.17
2906,1.0,0.535,0.45,0.17,0.7809999999999999,0.3055,0.1555,0.295
2908,1.0,0.375,0.3,0.075,0.14400000000000002,0.059,0.03,0.044
2956,1.0,0.685,0.525,0.175,1.71,0.5415,0.309,0.58
2958,1.0,0.595,0.495,0.235,1.366,0.5065,0.219,0.52
2962,1.0,0.535,0.45,0.155,0.8075,0.3655,0.14800000000000002,0.2595
2974,1.0,0.59,0.455,0.165,1.161,0.38,0.2455,0.28
2978,1.0,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073
2980,1.0,0.545,0.425,0.14,0.8145,0.305,0.231,0.244
2981,1.0,0.59,0.47,0.17,0.9,0.355,0.1905,0.25
2986,1.0,0.695,0.55,0.22,1.5515,0.5660000000000001,0.3835,0.445
3001,1.0,0.37,0.28,0.095,0.2655,0.122,0.052000000000000005,0.08
3006,1.0,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1
3013,1.0,0.595,0.48,0.15,1.11,0.498,0.228,0.33
3018,1.0,0.59,0.475,0.155,0.9715,0.371,0.235,0.28
3020,1.0,0.44,0.325,0.08,0.413,0.14400000000000002,0.1015,0.13
3022,1.0,0.535,0.4,0.135,0.775,0.368,0.208,0.2055
3028,1.0,0.445,0.325,0.1,0.378,0.1795,0.1,0.08900000000000001
3039,1.0,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815
3044,1.0,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085
3047,1.0,0.535,0.425,0.135,0.7709999999999999,0.3765,0.1815,0.1795
3054,1.0,0.37,0.29,0.09,0.2445,0.08900000000000001,0.0655,0.075
3068,1.0,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605
3069,1.0,0.23,0.17,0.05,0.057,0.026,0.013,0.016
3078,1.0,0.6,0.45,0.145,0.877,0.4325,0.155,0.24
3092,1.0,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27
3093,1.0,0.435,0.34,0.12,0.396,0.1775,0.081,0.125
3095,1.0,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185
3107,1.0,0.42,0.335,0.115,0.369,0.171,0.071,0.12
3109,1.0,0.43,0.335,0.115,0.406,0.166,0.0935,0.135
3116,1.0,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041
3134,1.0,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345
3144,1.0,0.62,0.5,0.175,1.107,0.4895,0.24,0.343
3145,1.0,0.55,0.415,0.18,1.1655,0.502,0.301,0.311
3147,1.0,0.55,0.445,0.145,0.7829999999999999,0.3045,0.157,0.265
3148,1.0,0.385,0.29,0.09,0.232,0.0855,0.0495,0.08
3152,1.0,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495
3162,1.0,0.565,0.44,0.15,0.983,0.4475,0.2355,0.2485
3163,1.0,0.395,0.325,0.105,0.306,0.111,0.0735,0.095
3165,1.0,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145
3167,1.0,0.61,0.47,0.165,1.052,0.498,0.242,0.267
3172,1.0,0.295,0.22,0.065,0.1295,0.052000000000000005,0.028,0.035
3177,1.0,0.37,0.27,0.09,0.1855,0.07,0.0425,0.065
3184,1.0,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305
3190,1.0,0.57,0.45,0.155,1.1935,0.513,0.21,0.343
3195,1.0,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16
3196,1.0,0.535,0.43,0.155,0.7845,0.3285,0.16899999999999998,0.245
3212,1.0,0.48,0.355,0.11,0.4495,0.201,0.08900000000000001,0.14
3219,1.0,0.55,0.415,0.135,0.7635,0.318,0.21,0.2
3220,1.0,0.635,0.485,0.155,1.073,0.467,0.1975,0.35
3223,1.0,0.6,0.475,0.175,1.3445,0.5489999999999999,0.2875,0.36
3230,1.0,0.62,0.475,0.16,0.907,0.371,0.16699999999999998,0.3075
3236,1.0,0.48,0.37,0.12,0.536,0.251,0.114,0.15
3239,1.0,0.395,0.295,0.1,0.293,0.14,0.062,0.08199999999999999
3240,1.0,0.475,0.36,0.14,0.5135,0.241,0.1045,0.155
3253,1.0,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185
3278,1.0,0.39,0.285,0.1,0.281,0.1275,0.062,0.077
3279,1.0,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005
3297,1.0,0.715,0.525,0.185,1.56,0.6655,0.383,0.405
3299,1.0,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321
3312,1.0,0.65,0.52,0.195,1.6275,0.6890000000000001,0.3905,0.4320000000000001
3317,1.0,0.615,0.5,0.165,1.327,0.6,0.3015,0.355
3318,1.0,0.565,0.445,0.14,0.836,0.406,0.1605,0.2245
3321,1.0,0.525,0.4,0.14,0.6955,0.2405,0.16,0.253
3326,1.0,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575
3330,1.0,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391
3331,1.0,0.62,0.485,0.155,1.0490000000000002,0.462,0.231,0.25
3335,1.0,0.575,0.45,0.185,0.925,0.342,0.197,0.35
3342,1.0,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125
3352,1.0,0.56,0.425,0.135,0.8205,0.3715,0.185,0.236
3355,1.0,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33
3361,1.0,0.24,0.175,0.055,0.0705,0.025,0.014,0.021
3370,1.0,0.66,0.52,0.19,1.558,0.755,0.298,0.4
3378,1.0,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41
3384,1.0,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135
3385,1.0,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295
3397,1.0,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075
3400,1.0,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18
3403,1.0,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455
3404,1.0,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02
3409,1.0,0.55,0.435,0.11,0.8059999999999999,0.3415,0.203,0.215
3410,1.0,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24
3412,1.0,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22
3418,1.0,0.505,0.365,0.115,0.521,0.25,0.096,0.15
3431,1.0,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365
3441,1.0,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405
3443,1.0,0.575,0.445,0.145,0.8759999999999999,0.3795,0.1615,0.27
3448,1.0,0.63,0.485,0.185,1.167,0.5479999999999999,0.2485,0.34
3449,1.0,0.645,0.515,0.175,1.546,0.7035,0.365,0.415
3452,1.0,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215
3453,1.0,0.6,0.47,0.16,1.012,0.441,0.2015,0.305
3456,1.0,0.51,0.37,0.21,1.183,0.508,0.292,0.343
3459,1.0,0.46,0.35,0.115,0.44,0.19,0.1025,0.13
3460,1.0,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515
3470,1.0,0.56,0.43,0.145,0.898,0.3895,0.2325,0.245
3475,1.0,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152
3477,1.0,0.515,0.395,0.135,0.516,0.2015,0.132,0.162
3493,1.0,0.3,0.23,0.085,0.117,0.05,0.0175,0.0415
3526,1.0,0.18,0.135,0.08,0.033,0.0145,0.006999999999999999,0.01
3560,1.0,0.57,0.45,0.145,0.7509999999999999,0.2825,0.2195,0.2215
3570,1.0,0.695,0.57,0.2,2.033,0.7509999999999999,0.4255,0.685
3571,1.0,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425
3578,1.0,0.66,0.495,0.21,1.548,0.7240000000000001,0.3525,0.3925
3582,1.0,0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925
3588,1.0,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555
3592,1.0,0.685,0.52,0.165,1.519,0.6990000000000001,0.3685,0.4
3596,1.0,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085
3612,1.0,0.665,0.535,0.195,1.606,0.5755,0.388,0.48
3614,1.0,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975
3619,1.0,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725
3623,1.0,0.49,0.375,0.15,0.5755,0.22,0.14400000000000002,0.19
3625,1.0,0.555,0.425,0.14,0.7879999999999999,0.282,0.1595,0.285
3640,1.0,0.525,0.425,0.125,0.812,0.4035,0.1705,0.195
3642,1.0,0.16,0.12,0.02,0.018000000000000002,0.0075,0.0045,0.005
3645,1.0,0.52,0.41,0.115,0.77,0.263,0.157,0.26
3649,1.0,0.39,0.3,0.105,0.259,0.0955,0.038,0.085
3651,1.0,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147
3666,1.0,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665
3671,1.0,0.565,0.45,0.16,0.895,0.415,0.195,0.246
3678,1.0,0.615,0.5,0.17,1.054,0.4845,0.228,0.295
3682,1.0,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225
3688,1.0,0.425,0.31,0.09,0.301,0.1385,0.065,0.08
3698,1.0,0.39,0.295,0.1,0.279,0.1155,0.059,0.08
3706,1.0,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355
3714,1.0,0.62,0.54,0.165,1.139,0.4995,0.2435,0.35700000000000004
3718,1.0,0.62,0.48,0.15,1.1015,0.4965,0.243,0.305
3720,1.0,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32
3721,1.0,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305
3722,1.0,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381
3728,1.0,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775
3735,1.0,0.66,0.51,0.175,1.218,0.5055,0.303,0.37
3743,1.0,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965
3745,1.0,0.535,0.435,0.15,0.7170000000000001,0.3475,0.1445,0.194
3752,1.0,0.645,0.525,0.2,1.449,0.601,0.2565,0.505
3754,1.0,0.485,0.37,0.14,0.5065,0.2425,0.08800000000000001,0.1465
