female,infant,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,rings
1.0,0.0,0.0,0.635,0.51,0.17,1.2235,0.532,0.271,0.354,9.0
0.0,0.0,1.0,0.53,0.4,0.125,0.7575,0.39799999999999996,0.151,0.175,8.0
0.0,1.0,0.0,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,8.0
0.0,0.0,1.0,0.695,0.55,0.22,1.5515,0.5660000000000001,0.3835,0.445,13.0
0.0,0.0,1.0,0.665,0.5,0.175,1.2975,0.6075,0.314,0.315,9.0
1.0,0.0,0.0,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9.0
1.0,0.0,0.0,0.57,0.47,0.14,0.871,0.385,0.21100000000000002,0.2315,10.0
0.0,1.0,0.0,0.23,0.17,0.05,0.057,0.026000000000000002,0.013000000000000001,0.016,5.0
0.0,0.0,1.0,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9.0
0.0,0.0,1.0,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8.0
1.0,0.0,0.0,0.65,0.5,0.185,1.4415,0.741,0.2955,0.341,9.0
0.0,1.0,0.0,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5.0
1.0,0.0,0.0,0.61,0.475,0.16,1.1155,0.3835,0.223,0.379,10.0
0.0,0.0,1.0,0.66,0.5,0.165,1.3195,0.667,0.26899999999999996,0.341,9.0
0.0,0.0,1.0,0.505,0.38,0.13,0.6559999999999999,0.22699999999999998,0.1785,0.22,13.0
0.0,0.0,1.0,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10.0
1.0,0.0,0.0,0.6,0.46,0.15,1.235,0.6025,0.27399999999999997,0.29,8.0
1.0,0.0,0.0,0.7,0.55,0.17,1.6840000000000002,0.7535,0.3265,0.32,11.0
0.0,0.0,1.0,0.42,0.34,0.125,0.4495,0.165,0.1125,0.14400000000000002,11.0
0.0,1.0,0.0,0.25,0.185,0.065,0.071,0.027000000000000003,0.0185,0.0225,5.0
0.0,1.0,0.0,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,8.0
0.0,0.0,1.0,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9.0
1.0,0.0,0.0,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11.0
1.0,0.0,0.0,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13.0
1.0,0.0,0.0,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,21.0
0.0,0.0,1.0,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9.0
0.0,1.0,0.0,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12.0
0.0,1.0,0.0,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8.0
0.0,0.0,1.0,0.47,0.37,0.12,0.5795,0.293,0.22699999999999998,0.14,9.0
0.0,0.0,1.0,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,11.0
1.0,0.0,0.0,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11.0
0.0,0.0,1.0,0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325,8.0
0.0,0.0,1.0,0.63,0.49,0.16,1.09,0.40700000000000003,0.22399999999999998,0.354,12.0
0.0,0.0,1.0,0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,11.0
0.0,0.0,1.0,0.565,0.455,0.15,0.9795,0.444,0.205,0.275,8.0
0.0,0.0,1.0,0.745,0.575,0.2,1.8840000000000001,0.9540000000000001,0.336,0.495,12.0
1.0,0.0,0.0,0.65,0.495,0.175,1.227,0.528,0.258,0.37,11.0
0.0,1.0,0.0,0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9.0
1.0,0.0,0.0,0.58,0.435,0.15,0.8390000000000001,0.3485,0.207,0.192,7.0
0.0,0.0,1.0,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6.0
0.0,1.0,0.0,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7.0
1.0,0.0,0.0,0.595,0.465,0.145,1.107,0.402,0.2415,0.31,12.0
0.0,1.0,0.0,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027000000000000003,6.0
0.0,1.0,0.0,0.44,0.34,0.12,0.43799999999999994,0.2115,0.083,0.12,9.0
0.0,1.0,0.0,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12.0
0.0,0.0,1.0,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8.0
1.0,0.0,0.0,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,14.0
0.0,0.0,1.0,0.62,0.48,0.15,1.1015,0.4965,0.243,0.305,10.0
0.0,0.0,1.0,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.18600000000000003,7.0
0.0,1.0,0.0,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8.0
0.0,1.0,0.0,0.64,0.49,0.135,1.1,0.488,0.2505,0.2925,10.0
0.0,0.0,1.0,0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,9.0
1.0,0.0,0.0,0.6,0.485,0.145,0.7759999999999999,0.3545,0.1585,0.239,9.0
0.0,1.0,0.0,0.475,0.375,0.11,0.494,0.21100000000000002,0.109,0.1545,8.0
0.0,1.0,0.0,0.65,0.52,0.15,1.238,0.5495,0.29600000000000004,0.3305,10.0
0.0,1.0,0.0,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7.0
1.0,0.0,0.0,0.625,0.5,0.16,1.217,0.5725,0.207,0.355,11.0
1.0,0.0,0.0,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10.0
0.0,0.0,1.0,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19,9.0
1.0,0.0,0.0,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14.0
0.0,0.0,1.0,0.575,0.455,0.135,0.907,0.4245,0.19699999999999998,0.26,9.0
1.0,0.0,0.0,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8.0
0.0,1.0,0.0,0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,7.0
0.0,0.0,1.0,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,12.0
0.0,0.0,1.0,0.6,0.49,0.21,1.9875,1.005,0.419,0.491,10.0
0.0,1.0,0.0,0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305,8.0
1.0,0.0,0.0,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8.0
1.0,0.0,0.0,0.54,0.44,0.16,1.0905,0.391,0.2295,0.355,15.0
0.0,1.0,0.0,0.44,0.34,0.105,0.344,0.12300000000000001,0.081,0.125,8.0
0.0,0.0,1.0,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12.0
0.0,0.0,1.0,0.63,0.48,0.165,1.286,0.604,0.271,0.35,8.0
1.0,0.0,0.0,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10.0
0.0,1.0,0.0,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,6.0
0.0,0.0,1.0,0.735,0.59,0.205,2.0869999999999997,0.909,0.474,0.625,12.0
1.0,0.0,0.0,0.72,0.565,0.18,1.719,0.8465,0.40700000000000003,0.3875,11.0
1.0,0.0,0.0,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17.0
0.0,1.0,0.0,0.315,0.23,0.07,0.16399999999999998,0.0625,0.04,0.045,6.0
1.0,0.0,0.0,0.555,0.42,0.11,0.9309999999999999,0.4445,0.171,0.225,8.0
0.0,1.0,0.0,0.45,0.335,0.105,0.36200000000000004,0.1575,0.0795,0.1095,7.0
1.0,0.0,0.0,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245,10.0
0.0,0.0,1.0,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9.0
0.0,0.0,1.0,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,13.0
1.0,0.0,0.0,0.52,0.43,0.15,0.728,0.302,0.1575,0.235,11.0
1.0,0.0,0.0,0.575,0.46,0.15,0.927,0.33299999999999996,0.207,0.2985,9.0
0.0,0.0,1.0,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4,12.0
0.0,1.0,0.0,0.205,0.15,0.065,0.04,0.02,0.011000000000000001,0.013000000000000001,4.0
0.0,1.0,0.0,0.375,0.28,0.085,0.2145,0.0855,0.0485,0.07200000000000001,7.0
0.0,1.0,0.0,0.25,0.185,0.065,0.0685,0.0295,0.013999999999999999,0.0225,5.0
1.0,0.0,0.0,0.66,0.515,0.18,1.5230000000000001,0.54,0.3365,0.555,16.0
0.0,1.0,0.0,0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,11.0
1.0,0.0,0.0,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9.0
0.0,1.0,0.0,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6.0
0.0,1.0,0.0,0.375,0.305,0.115,0.2715,0.092,0.07400000000000001,0.09,8.0
0.0,1.0,0.0,0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,5.0
0.0,1.0,0.0,0.365,0.27,0.085,0.19699999999999998,0.0815,0.0325,0.065,6.0
1.0,0.0,0.0,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8.0
0.0,1.0,0.0,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5.0
1.0,0.0,0.0,0.375,0.29,0.115,0.2705,0.09300000000000001,0.066,0.0885,10.0
1.0,0.0,0.0,0.52,0.405,0.145,0.8290000000000001,0.3535,0.1685,0.205,15.0
0.0,0.0,1.0,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13.0
0.0,0.0,1.0,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16.0
0.0,1.0,0.0,0.505,0.395,0.105,0.551,0.248,0.10300000000000001,0.171,8.0
1.0,0.0,0.0,0.69,0.535,0.185,1.8259999999999998,0.797,0.409,0.499,11.0
0.0,0.0,1.0,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9.0
0.0,1.0,0.0,0.535,0.4,0.13,0.657,0.2835,0.162,0.175,7.0
1.0,0.0,0.0,0.345,0.255,0.1,0.19699999999999998,0.071,0.051,0.06,9.0
0.0,1.0,0.0,0.5,0.375,0.14,0.5589999999999999,0.2375,0.135,0.16899999999999998,9.0
0.0,0.0,1.0,0.62,0.495,0.195,1.5145,0.579,0.34600000000000003,0.5195,15.0
0.0,1.0,0.0,0.42,0.32,0.115,0.409,0.2055,0.0935,0.105,8.0
1.0,0.0,0.0,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10.0
1.0,0.0,0.0,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,8.0
0.0,1.0,0.0,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,5.0
1.0,0.0,0.0,0.655,0.51,0.15,1.043,0.4795,0.223,0.305,9.0
1.0,0.0,0.0,0.61,0.47,0.16,1.0170000000000001,0.426,0.2255,0.32,12.0
0.0,1.0,0.0,0.375,0.245,0.1,0.39399999999999996,0.166,0.091,0.1125,6.0
0.0,0.0,1.0,0.76,0.575,0.19,1.829,0.7035,0.386,0.56,14.0
0.0,1.0,0.0,0.425,0.315,0.08,0.303,0.131,0.0585,0.095,7.0
0.0,0.0,1.0,0.585,0.51,0.16,1.218,0.639,0.24100000000000002,0.3,11.0
0.0,1.0,0.0,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5.0
0.0,1.0,0.0,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,8.0
1.0,0.0,0.0,0.455,0.365,0.11,0.385,0.166,0.046,0.1345,13.0
0.0,0.0,1.0,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10.0
0.0,1.0,0.0,0.37,0.27,0.095,0.2175,0.09699999999999999,0.046,0.065,6.0
1.0,0.0,0.0,0.695,0.535,0.175,1.361,0.5465,0.2815,0.465,10.0
1.0,0.0,0.0,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10.0
1.0,0.0,0.0,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19.0
1.0,0.0,0.0,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12.0
